KEY,en,notes,sp,fr,de,it,pt-br
TEAMNAME_FORMAT,{Adjective} {Nouns},"one adjective and one noun are chosen at random. If this is impossible to make work in a language, then just change the format to say ""The Cats"", or make the adjectives empty and randomize some teamnames in the Noun slots",Los {Nouns} {Adjective},Les {Nouns} {Adjective},Die {Adjective} {Nouns},{Nouns} {Adjective},Os {Nouns} {Adjective}
TEAMNAME_FORMAT2,{Adjective} {Nouns},"if the adjective is prepended with ""format2|"" then the team name will use this format instead of the default one",{Nouns} {Adjective},{Nouns} {Adjective},Die {Adjective}-{Nouns},{Adjective} {Nouns},{Nouns} {Adjective}
,,"if more than 2 formats are needed for a language, I can add more (just let me know).",,,,,
,,"nouns may be prepended with the text ""singular|"" (ex if the noun is Team or Sqaud instead of Cats). This changes the grammar in the embark/return/fail cutscenes (ex: ""{Teamname} Returns Home"" vs {Teamname} Return Home"")",,,,,
TEAMNAME_ADJECTIVE_FIGHTER0,Сильные,"these do not need to be strictly literal translations, you can be creative with them",Fuertes,forts|fortes,Starken,Forti,Fortes
TEAMNAME_ADJECTIVE_FIGHTER1,Тупые,,Tontos,idiots|idiotes,Blöden,Tontoloni|Tontolone,Burros
TEAMNAME_ADJECTIVE_FIGHTER2,Мощные,,Poderosos,puissants|puissantes,Garstigen,Potenti,Poderosos
TEAMNAME_ADJECTIVE_FIGHTER3,Могучие,,Imponentes,vaillants|vaillantes,Mächtigen,Possenti,Potentes
TEAMNAME_ADJECTIVE_FIGHTER4,Элитные,,de Élite,d'élite,format2|Elite,D'élite,de Elite
TEAMNAME_ADJECTIVE_FIGHTER5,Качки,,Cachas,musclés|musclées,Pumpenden,Pompati|Pompate,Inchados
TEAMNAME_ADJECTIVE_FIGHTER6,Альфа,,Alfa,mâles alpha|femelles alpha,format2|Alpha,Alfa,Alfas
TEAMNAME_ADJECTIVE_FIGHTER7,Драчливые,,Contundentes,percutants|percutantes,Schlagfertigen,Bizzosi|Bizzose,Impactantes
TEAMNAME_ADJECTIVE_FIGHTER8,Ушибленные,,Magullados,amochés|amochées,Verprellten,Lividi|Livide,Contundidos
TEAMNAME_ADJECTIVE_FIGHTER9,Боевые,,Peleones,bagarreurs|bagarreuses,Kriegerischen,Rissosi|Rissose,Lutadores
TEAMNAME_ADJECTIVE_FIGHTER10,Жесткие,,Duros,balèzes,Zähen,Duri|Dure,Resistentes
TEAMNAME_ADJECTIVE_FIGHTER11,Дерзкие,,Fanfarrones,prétentieux|prétentieuses,Frechen,Spavaldi|Spavalde,Arrogantes
TEAMNAME_ADJECTIVE_FIGHTER12,Тусклые,,Atontados,bêtes,Zurückgebliebenen,Ottusi|Ottuse,Escuros
TEAMNAME_ADJECTIVE_FIGHTER13,Мрачные,,Amenazadores,menaçants|menaçantes,Grüblerischen,Cupi,Melancólicos
TEAMNAME_ADJECTIVE_HUNTER0,Терпеливые,,Pacientes,patients|patientes,Geduldigen,Pazienti,Pacientes
TEAMNAME_ADJECTIVE_HUNTER1,Точные,,Precisos,précis|précises,Peniblen,Precisi|Precise,Precisos
TEAMNAME_ADJECTIVE_HUNTER2,Сфокусированные,,Concentrados,concentrés|concentrées,Konzentrierten,Concentrati|Concentrate,Concentrados
TEAMNAME_ADJECTIVE_HUNTER3,Меткие,,Certeros,flingueurs|flingueuses,Adleräugigen,Attenti|Attente,Atiradores de Elite
TEAMNAME_ADJECTIVE_HUNTER4,Паршивые,,Sarnosos,galeux|galeuses,Räudigen,Rognosi|Rognose,Improvisados
TEAMNAME_ADJECTIVE_HUNTER5,Зараженные,,Infestados,infestés|infestées,Infizierten,Infestati|Infestate,Infestados
TEAMNAME_ADJECTIVE_HUNTER6,Дальние,,a Distancia,organisés|organisées,Fernkämpfenden,Tiratori|Tiratrici,Distantes
TEAMNAME_ADJECTIVE_HUNTER7,Ловящие,,Capturadores,piégeurs|piégeuses,Fallenstellenden,Insidiosi|Insidiose,Astutos
TEAMNAME_ADJECTIVE_HUNTER8,Чуткие,,Agudos,enthousiastes,Eifrigen,Acuti|Acute,Afiados
TEAMNAME_ADJECTIVE_HUNTER9,Дичающие,,Salvajes,déchaînés|déchaînées,Wilden,Scatenati|Scatenate,Primitivos
TEAMNAME_ADJECTIVE_HUNTER10,Неукротимые,,Indómitos,indomptables,Ungezähmten,Indomiti|Indomite,Indomáveis
TEAMNAME_ADJECTIVE_HUNTER11,Уличные,,Intrépidos,du plein air,format2|Outdoor,Esterni|Esterne,Rueiros
TEAMNAME_ADJECTIVE_MEDIC0,Заботливые,,Bondadosos,attentionnés|attentionnées,Gütigen,Premurosi|Premurose,Carinhosos
TEAMNAME_ADJECTIVE_MEDIC1,Любящие,,Afectuosos,aimants|aimantes,Lieben,Affettuosi|Affettuose,Amorosos
TEAMNAME_ADJECTIVE_MEDIC2,Почтительные,,Respetuosos,révérencieux|révérencieuses,Ehrfürchtigen,Riverenti,Reverentes
TEAMNAME_ADJECTIVE_MEDIC3,Святые,,Sacros,saints|saintes,Heiligen,Sacri|Sacre,Sagrados
TEAMNAME_ADJECTIVE_MEDIC4,Набожные,,Piadosos,pieux|pieuses,Frommen,Pii|Pie,Piedosos
TEAMNAME_ADJECTIVE_MEDIC5,Преданные,,Devotos,dévots|dévotes,Gläubigen,Devoti|Devote,Devotos
TEAMNAME_ADJECTIVE_MEDIC6,Божественные,,Religiosos,vertueux|vertueuses,Gottgleichen,Celestiali,Divinos
TEAMNAME_ADJECTIVE_MEDIC7,Праведные,,Honrados,intègres,Gerechten,Giusti|Giuste,Justos
TEAMNAME_ADJECTIVE_MEDIC8,Дивайн,,Divinos,divins|divines,Göttlichen,Divini,Divinos
TEAMNAME_ADJECTIVE_MEDIC9,Верные,,Leales,croyants|croyantes,Getreuen,Credenti,Fiéis
TEAMNAME_ADJECTIVE_MEDIC10,Помазанные,,Ungidos,consacrés|consacrées,Gesalbten,Consacrati|Consacrate,Abençoados
TEAMNAME_ADJECTIVE_MAGE0,Магические,,Mágicos,magiques,Magischen,Magici|Magiche,Mágicos
TEAMNAME_ADJECTIVE_MAGE1,Стихийные,,Elementales,élémentaires,Elementaren,Elementali,Elementais
TEAMNAME_ADJECTIVE_MAGE2,Настроенные,,en Armonía,harmonisés|harmonisées,Eingestimmten,Armonizzati|Armonizzate,Sintonizados
TEAMNAME_ADJECTIVE_MAGE3,Швыряющие Заклинания,,Hechiceros,prestidigitateurs|prestidigitatrices,Zauberhaften,Incantatori|Incantatrici,Lançadores de Feitiços
TEAMNAME_ADJECTIVE_MAGE4,Мозговитые,,Inteligentes,intellos,Hyperintelligenten,Cervelloni|Cervellone,Super Inteligentes
TEAMNAME_ADJECTIVE_MAGE5,Умные,,Listos,futés|futées,Schlauen,Svegli|Sveglie,Espertos
TEAMNAME_ADJECTIVE_MAGE6,Зачарованные,,Encantados,enchantés|enchantées,Verzauberten,Incantati|Incantate,Encantados
TEAMNAME_ADJECTIVE_MAGE7,Завороженные,,Hechizados,ensorcelés|ensorcelées,Gebannten,Stregati|Stregate,Enfeitiçados
TEAMNAME_ADJECTIVE_MAGE8,Полные Маны,,de Maná,pourvus de mana|pourvues de mana,Magieerfüllten,del Mana,Cheios de Mana
TEAMNAME_ADJECTIVE_MAGE9,Академические,,Académicos,académiciens|académiciennes,Akademischen,Accademici|Accademiche,Acadêmicos
TEAMNAME_ADJECTIVE_MAGE10,Интеллектуальные,,Intelectuales,intellectuels|intellectuelles,Intellektuellen,Colti|Colte,Intelectuais
TEAMNAME_ADJECTIVE_MAGE11,Магические,,Embrujados,magiques,Bezauberten,Fatati|Fatate,Mágicos
TEAMNAME_ADJECTIVE_TANK0,Толстые,,Gruesos,à l'ossature lourde,Dicken,Massicci|Massiccie,Grossos
TEAMNAME_ADJECTIVE_TANK1,Устойчивые,,Firmes,solides,Standhaften,Stabili,Firmes
TEAMNAME_ADJECTIVE_TANK2,Выносливые,,Robustos,robustes,Abgehärteten,Robusti|Robuste,Durões
TEAMNAME_ADJECTIVE_TANK3,Жирные,,Gordos,en surpoids,Fetten,Grassottelli|Grassottelle,Gordos
TEAMNAME_ADJECTIVE_TANK4,Твердые,,Sólidos,solides,Soliden,Solidi,Sólidos
TEAMNAME_ADJECTIVE_TANK5,Упругие,,Resistentes,résilients|résilientes,Widerstandsfähigen,Tenaci,Resilientes
TEAMNAME_ADJECTIVE_TANK6,Крепкие,,Corpulentos,corpulents|corpulentes,Stabilen,Tarchiati|Tarchiate,Corpulentos
TEAMNAME_ADJECTIVE_TANK7,Широкие,,Anchos,épais|épaisses,Breiten,Larghi|Larghe,Largos
TEAMNAME_ADJECTIVE_TANK8,Здоровяки,,Fornidos,costauds|costaudes,Stattlichen,Grossi|Grosse,Robustos
TEAMNAME_ADJECTIVE_TANK9,Пухлые,,Rellenitos,potelés|potelées,Molligen,Paffuti|Paffute,Gorduchos
TEAMNAME_ADJECTIVE_TANK10,Каменные,,Pétreos,rocailleux|rocailleuses,Felsenfesten,Rocciosi|Rocciose,Pedregosos
TEAMNAME_ADJECTIVE_TANK11,Плотные,,Densos,énormes,Unterbelichteten,Densi|Dense,Densos
TEAMNAME_ADJECTIVE_TANK12,Круглые,,Orondos,rondelets|rondelettes,Runden,Rotondi|Rotonde,Redondos
TEAMNAME_ADJECTIVE_TANK13,XXL,,XXL,XXL,format2|XXL,XXL,GGG
TEAMNAME_ADJECTIVE_TANK14,Ленивые,,Vagos,paresseux|paresseuses,Faulen,Pigri|Pigre,Preguiçosos
TEAMNAME_ADJECTIVE_TANK15,Медленные,,Lentos,lents|lentes,Langsamen,Lenti|Lente,Lentos
TEAMNAME_ADJECTIVE_TANK16,Чонки,,Rollizos,joufflus|joufflues,Klobigen,Cicciotti|Cicciotte,Rotundos
TEAMNAME_ADJECTIVE_THIEF0,Подлые,,Sigilosos,sournois|sournoises,Schleichenden,Furtivi|Furtive,Furtivos
TEAMNAME_ADJECTIVE_THIEF1,Хитрые,,Taimados,fourbes,Listigen,Scaltri|Scaltre,Espertos
TEAMNAME_ADJECTIVE_THIEF2,Скрытые,,Ocultos,cachés|cachées,Versteckten,Nascosti|Nascoste,Ocultos
TEAMNAME_ADJECTIVE_THIEF3,Лживые,,Mentirosos,menteurs|menteuses,Lügenden,Bugiardi|Bugiarde,Mentirosos
TEAMNAME_ADJECTIVE_THIEF4,Жадные,,Avariciosos,cupides,Gierigen,Avidi|Avide,Ambiciosos
TEAMNAME_ADJECTIVE_THIEF5,Скряги,,Agarrados,avares,Geizigen,Tirchi|Tirchie,Sovinas
TEAMNAME_ADJECTIVE_THIEF6,Быстрые,,Rápidos,rapides,Schnellen,Svelti|Svelte,Velozes
TEAMNAME_ADJECTIVE_THIEF7,Непослушные,,Traviesos,vilains|vilaines,Frechen,Birbanti,Safadinhos
TEAMNAME_ADJECTIVE_THIEF8,Вороватые,,Ladrones,voleurs|voleuses,Diebischen,Ladri|Ladre,Gatunos
TEAMNAME_ADJECTIVE_THIEF9,Корыстные,,Furtivos,du larcin,Gnädigen,Mercenari|Mercenarie,Graciosos
TEAMNAME_ADJECTIVE_THIEF10,Пыряющие,,Arteros,au poignard,Hinterlistigen,Pugnalatori|Pugnalatrici,Enganadores
TEAMNAME_ADJECTIVE_THIEF11,Темные,,Oscuros,sombres,Dunklen,Oscuri|Oscure,Sombrios
TEAMNAME_ADJECTIVE_THIEF12,Тихие,,Silenciosos,silencieux|silencieuses,Stillen,Silenziosi|Silenziose,Quietos
TEAMNAME_ADJECTIVE_THIEF13,Тайные,,Secretos,discrets|discrètes,Geheimen,Segreti|Segrete,Secretos
TEAMNAME_ADJECTIVE_MONK0,Сбалансированные,,Equilibrados,équilibrés|équilibrées,Ausgeglichenen,Equilibrati|Equilibrate,Equilibrados
TEAMNAME_ADJECTIVE_MONK1,Дзен,,Zen,zen,format2|Zen,Zen,Zen
TEAMNAME_ADJECTIVE_MONK2,Плавные,,Fluidos,ruisselants|ruisselantes,Fließenden,Fluidi|Fluide,Fluidos
TEAMNAME_ADJECTIVE_MONK3,Медитирующие,,Meditabundos,méditatifs|méditatives,Meditierenden,Meditativi|Meditative,Meditantes
TEAMNAME_ADJECTIVE_MONK4,Спокойные,,Calmados,calmes,Ruhigen,Sereni|Serene,Calmos
TEAMNAME_ADJECTIVE_MONK5,Летящие,,Voladores,volants|volantes,Fliegenden,Volanti,Voadores
TEAMNAME_ADJECTIVE_MONK6,Просветленные,,Iluminados,éveillés|éveillées,Erleuchteten,Illuminati|Illuminate,Iluminados
TEAMNAME_ADJECTIVE_MONK7,Блаженные,,Dichosos,béats|béates,Seligen,Beati|Beate,Afortunados
TEAMNAME_ADJECTIVE_MONK8,Внутренние,,Ensimismados,intérieurs|intérieures,Inneren,Intimi|Intime,Interiores
TEAMNAME_ADJECTIVE_MONK9,Центрированные,,Centrados,centrés|centrées,Zentrierten,Centrati|Centrate,Centrados
TEAMNAME_ADJECTIVE_MONK10,Парящие,,Voladores,planants|planantes,Fliegenden,Alati|Alate,Voadores
TEAMNAME_ADJECTIVE_MONK11,Кармические,,del Karma,karmiques,format2|Karma,del Karma,Cármicos
TEAMNAME_ADJECTIVE_MONK12,Трансцендентные,,Trascendentales,transcendés|transcendées,Überweltlichen,Trascendenti,Transcendentes
TEAMNAME_ADJECTIVE_DRUID0,Звериные,,Bestiales,animaux|animales,Animalistischen,Animalisti|Animaliste,Animalísticos
TEAMNAME_ADJECTIVE_DRUID1,Поющие,,Cantantes,chantants|chantantes,Singenden,Canterini|Canterine,Cantores
TEAMNAME_ADJECTIVE_DRUID2,Природные,,Naturales,naturels|naturelles,Natürlichen,Naturali,Naturais
TEAMNAME_ADJECTIVE_DRUID3,Мирные,,Pacíficos,pacifiques,Friedlichen,Pacifici|Pacifiche,Pacíficos
TEAMNAME_ADJECTIVE_DRUID4,Музыкальные,,Musicales,musicaux|musicales,Musikalischen,Musicali,Musicais
TEAMNAME_ADJECTIVE_DRUID5,Беличьи,,Ardillistas,agités|agitées,Schreckhaften,Strambi|Strambe,Assustadores
TEAMNAME_ADJECTIVE_DRUID6,Призванные,,Invocados,invoqués|invoquées,Beschworenen,Evocati|Evocate,Invocados
TEAMNAME_ADJECTIVE_DRUID7,Лиственные,,Frondosos,feuillus|feuillues,Blättrigen,Floridi|Floride,Folhosos
TEAMNAME_ADJECTIVE_DRUID8,Под Кайфом,,Colocados,défoncés|défoncées,Vollgedröhnten,Inebriati|Inebriate,Altos
TEAMNAME_ADJECTIVE_DRUID9,Танцующие,,Danzantes,dansants|dansantes,Tanzenden,Ballerini|Ballerine,Dançantes
TEAMNAME_ADJECTIVE_DRUID10,Свистящие,,Silbantes,sifflotants|sifflotantes,Pfeifenden,Fischiettanti,Assobiadores
TEAMNAME_ADJECTIVE_DRUID11,А Капелла,,Cantarines,a capella,A Capella,A Cappella,A Cappella
TEAMNAME_ADJECTIVE_PSYCHIC0,Трехглазые,,Videntes,à trois yeux,Dreiäugigen,Triclopi,de Três Olhos
TEAMNAME_ADJECTIVE_PSYCHIC1,Астральные,,Astrales,astraux|astrales,Astralen,Astrali,Astrais
TEAMNAME_ADJECTIVE_PSYCHIC2,Видящие,,Visionarios,visionnaires,Visionären,Veggenti,Visionários
TEAMNAME_ADJECTIVE_PSYCHIC3,Мистические,,Místicos,mystiques,Mystischen,Mistici|Mistiche,Místicos
TEAMNAME_ADJECTIVE_PSYCHIC4,Читающие Мысли,,Mentales,devins,Gedankenlesenden,Chiromanti,Leitores de Mentes
TEAMNAME_ADJECTIVE_PSYCHIC5,Гадающие,,Adivinos,voyants|voyantes,Wahrsagenden,Indovini|Indovine,Videntes
TEAMNAME_ADJECTIVE_PSYCHIC6,Психические,,Mentalistas,médiums,Psychischen,Psionici|Psioniche,Psíquicos
TEAMNAME_ADJECTIVE_PSYCHIC7,Телепатические,,Telepáticos,télépathes,Telepathischen,Telepatici|Telepatiche,Telepatas
TEAMNAME_ADJECTIVE_PSYCHIC8,Очаровательные,,Encantadores,charmeurs|charmeuses,Charmanten,Ammaliatori|Ammaliatrici,Charmosos
TEAMNAME_ADJECTIVE_PSYCHIC9,Манипулятивные,,Manipuladores,manipulateurs|manipulatrices,Manipulierenden,Manipolatori|Manipolatrici,Manipulativos
TEAMNAME_ADJECTIVE_PSYCHIC10,Всезнающие,,Omniscientes,omniscients|omniscientes,Allwissenden,Onniscienti,Sabe-Tudo
TEAMNAME_ADJECTIVE_PSYCHIC11,Пульсирующие,,Palpitantes,palpitants|palpitantes,Pulsierenden,Pulsanti,Pulsantes
TEAMNAME_ADJECTIVE_PSYCHIC12,Кататонические,,Catatónicos,catatoniques,Katatonischen,Catatonici|Catatoniche,Catatônicos
TEAMNAME_ADJECTIVE_BUTCHER0,Голодные,,Hambrientos,affamés|affamées,Hungrigen,Affamati|Affamate,Famintos
TEAMNAME_ADJECTIVE_BUTCHER1,Потные,,Sudorosos,en sueur,Schwitzenden,Sudaticci|Sudaticcie,Suados
TEAMNAME_ADJECTIVE_BUTCHER2,Мясные,,Cárnicos,charnus|charnues,Fleischigen,Carnosi|Carnose,Carnudos
TEAMNAME_ADJECTIVE_BUTCHER3,Нарезанные,,Rebanados,en tranches,Geschnittenen,Affettati|Affettate,Fatiados
TEAMNAME_ADJECTIVE_BUTCHER4,На Крючке,,Ensartados,accrochés|accrochées,Hakenden,Appesi|Appese,Enganchados
TEAMNAME_ADJECTIVE_BUTCHER5,Кровоточащие,,Sangrientos,ensanglantés|ensanglantées,Blutenden,Sanguinanti,Sangrentos
TEAMNAME_ADJECTIVE_BUTCHER6,Ненасытные,,Famélicos,insatiables,Nimmersatten,Insaziabili,Nunca Satisfeitos
TEAMNAME_ADJECTIVE_BUTCHER7,Буч,,Carniceros,barbares,Maskulin gelesenen,Macellati|Macellate,Machões
TEAMNAME_ADJECTIVE_BUTCHER8,Цепные,,Encadenados,enchaînés|enchaînées,Angeketteten,Incatenati|Incatenate,Acorrentados
TEAMNAME_ADJECTIVE_BUTCHER9,Кровожадные,,Sedientos de Sangre,sanguinaires,Blutdurstigen,Assetati di Sangue|Assetate di Sangue,Sedentos de Sangue
TEAMNAME_ADJECTIVE_BUTCHER10,Руби-Кромсай,,Trinchadores,tranchants|tranchantes,Hackenden,Squartatori|Squartatrici,Estraçalhantes
TEAMNAME_ADJECTIVE_NECROMANCER0,Неживые,,de Ultratumba,morts-vivants|mortes-vivantes,Untoten,Non morti|Non morte,Mortos-Vivos
TEAMNAME_ADJECTIVE_NECROMANCER1,Гниющие,,en Descomposición,pourrissants|pourrissantes,Verwesenden,Decomposti|Decomposte,Apodrecidos
TEAMNAME_ADJECTIVE_NECROMANCER2,Темные,,Oscuros,sombres,Dunklen,Tenebrosi|Tenebrose,Sombreados
TEAMNAME_ADJECTIVE_NECROMANCER3,Тухлые,,Putrefactos,putréfiés|putréfiées,Verrottenden,Marcescenti,Apodrecidos
TEAMNAME_ADJECTIVE_NECROMANCER4,Готические,,Góticos,gothiques,format2|Gothic,Gotici|Gotiche,Góticos
TEAMNAME_ADJECTIVE_NECROMANCER5,Эмо,,Emo,emos,format2|Emo,Emo,Emo
TEAMNAME_ADJECTIVE_NECROMANCER6,Черные,,Negros,noirs|noires,Schwarzen,Neri|Nere,Negros
TEAMNAME_ADJECTIVE_NECROMANCER7,Злые,,Malvados,diaboliques,Bösen,Malvagi|Malvagie,Malignos
TEAMNAME_ADJECTIVE_NECROMANCER8,Обреченные,,Condenados,damnés|damnées,Verdammten,Dannati|Dannate,Perdidos
TEAMNAME_ADJECTIVE_NECROMANCER9,Осушенные,,Drenados,exsangues,Ausgesaugten,Prosciugati|Prosciugate,Drenados
TEAMNAME_ADJECTIVE_NECROMANCER10,Полуночные,,de Medianoche,de minuit,Nächtlichen,Crepuscolari,da Meia-Noite
TEAMNAME_ADJECTIVE_NECROMANCER11,Мертвые,,Muertos,morts|mortes,Toten,Morti|Morte,Mortos
TEAMNAME_ADJECTIVE_NECROMANCER12,Жуткие,,Aterradores,flippants|flippantes,Gruseligen,Spettrali,Assustadores
TEAMNAME_ADJECTIVE_TINKERER0,Рукастые,,Hábiles,ingénieux|ingénieuses,Gewieften,Astuti|Astute,Engenhosos
TEAMNAME_ADJECTIVE_TINKERER1,Лоскутные,,Apañados,ferrailleurs|ferrailleuses,Rabiaten,Battaglieri|Battagliere,Brigões
TEAMNAME_ADJECTIVE_TINKERER2,Изобретательные,,Inventivos,inventifs|inventives,Erfinderischen,Ingegnosi|Ingegnose,Inventores
TEAMNAME_ADJECTIVE_TINKERER3,Безумные,,Locos,énervés|énervées,Verrückten,Folli,Loucos
TEAMNAME_ADJECTIVE_TINKERER4,Жареные,,Electrocutados,frits|frites,Durchgedrehten,Fritti|Fritte,Fritos
TEAMNAME_ADJECTIVE_TINKERER5,Электрические,,Eléctricos,électriques,Elektrischen,Elettrici|Elettriche,Elétricos
TEAMNAME_ADJECTIVE_TINKERER6,Креативные,,Creativos,créatifs|créatives,Kreativen,Creativi|Creative,Criativos
TEAMNAME_ADJECTIVE_TINKERER7,Научные,,Científicos,scientifiques,Wissenschaftlichen,Scientifici|Scientifiche,Científicos
TEAMNAME_ADJECTIVE_TINKERER8,Роботизированные,,Robóticos,robotiques,Mechanischen,Robotici|Robotiche,Robóticos
TEAMNAME_ADJECTIVE_TINKERER9,Металлические,,Metálicos,métalliques,Metallischen,Metallici|Metalliche,de Metal
TEAMNAME_ADJECTIVE_TINKERER10,Взрывные,,Explosivos,explosifs|explosives,Explodierenden,Esplosivi|Esplosive,Explosivos
TEAMNAME_ADJECTIVE_TINKERER11,Бронированные,,con Armadura,blindés|blindées,Gerüsteten,Corazzati|Corazzate,Blindados
TEAMNAME_ADJECTIVE_TINKERER12,Вооруженные,,Armados,armés|armées,Bewaffneten,Armati|Armate,Armados
TEAMNAME_ADJECTIVE_TINKERER13,Радиоуправляемые,,Remotos,télécommandés|télécommandées,Ferngesteuerten,Telecomandati|Telecomandate,de Controle Remoto
